identifier,body_weight.characteristic.age,body_weight.procedural.control,body_weight.characteristic.treatment,body_weight.characteristic.treatment date,body_weight.measure.weight_1.grams.weeks.1,body_weight.measure.weight_2.grams.weeks.2,body_weight.identifier.Source ID,body_weight.characteristic.strain,body_weight.characteristic.birth date,body_weight.characteristic.genotype,body_weight.characteristic.fasting,body_weight.characteristic.generation
E2E_SAMPLE_001,18,NO,metformin,4/19/2024,21.49,16.63,E2E_SOURCE_001,A/J,2/5/2024,HOME,not fasted,22
E2E_SAMPLE_002,10,NO,none,1/5/2024,18.78,23.18,E2E_SOURCE_002,NZO/HlLtJ,2/5/2024,HOME,fasted,22
E2E_SAMPLE_003,20,NO,none,2/22/2024,22.43,16.66,E2E_SOURCE_003,A/J,2/5/2024,HOME,not fasted,10
E2E_SAMPLE_004,18,NO,metformin,2/12/2024,17.74,29.86,E2E_SOURCE_004,NZO/HlLtJ,6/8/2024,HOME,not fasted,10
E2E_SAMPLE_005,19,NO,none,1/17/2024,22.16,16.01,E2E_SOURCE_005,CAST/EiJ,6/8/2024,HOME,fasted,30
E2E_SAMPLE_006,17,YES,none,7/18/2024,26.62,21.62,E2E_SOURCE_006,NZO/HlLtJ,6/8/2024,HOME,not fasted,28
E2E_SAMPLE_007,17,NO,none,9/6/2024,18.99,27.95,E2E_SOURCE_007,CAST/EiJ,6/8/2024,HET,fasted,28
E2E_SAMPLE_008,19,YES,metformin,6/13/2024,15.4,25.85,E2E_SOURCE_008,NZO/HlLtJ,6/8/2024,HET,not fasted,22
E2E_SAMPLE_009,16,YES,none,1/9/2024,24.28,18.37,E2E_SOURCE_009,NZO/HlLtJ,8/11/2024,HOME,not fasted,28
E2E_SAMPLE_010,18,NO,none,1/29/2024,17.37,28.72,E2E_SOURCE_010,CAST/EiJ,8/11/2024,HOME,fasted,22
E2E_SAMPLE_011,20,NO,none,9/20/2024,24.3,28.23,E2E_SOURCE_011,NZO/HlLtJ,8/11/2024,HET,fasted,10
E2E_SAMPLE_012,18,YES,none,7/2/2024,29.2,19.24,E2E_SOURCE_012,CAST/EiJ,8/11/2024,HOME,fasted,22
E2E_SAMPLE_013,20,YES,metformin,4/2/2024,28.87,25.37,E2E_SOURCE_013,A/J,8/11/2024,HOME,not fasted,22
E2E_SAMPLE_014,11,YES,metformin,5/23/2024,26.11,21.88,E2E_SOURCE_014,NZO/HlLtJ,8/11/2024,HET,fasted,22
E2E_SAMPLE_015,10,YES,metformin,3/6/2024,20.82,27.32,E2E_SOURCE_015,NZO/HlLtJ,8/11/2024,HOME,fasted,22
E2E_SAMPLE_016,11,YES,metformin,5/2/2024,25.25,29,E2E_SOURCE_016,A/J,8/11/2024,HET,fasted,30
E2E_SAMPLE_017,15,NO,metformin,10/8/2024,26.63,28.71,E2E_SOURCE_017,A/J,8/11/2024,HET,fasted,30
E2E_SAMPLE_018,15,NO,metformin,9/2/2024,23.48,19.73,E2E_SOURCE_018,NZO/HlLtJ,8/11/2024,HET,fasted,28
E2E_SAMPLE_019,16,YES,none,6/6/2024,25.99,29.15,E2E_SOURCE_019,A/J,8/11/2024,HOME,fasted,28
E2E_SAMPLE_020,11,YES,none,4/5/2024,25.49,22.1,E2E_SOURCE_020,A/J,2/5/2024,HET,not fasted,22
E2E_SAMPLE_021,13,YES,none,2/25/2024,22.93,15.23,E2E_SOURCE_021,NZO/HlLtJ,2/5/2024,HET,not fasted,30
E2E_SAMPLE_022,10,NO,none,3/7/2024,18.21,25.99,E2E_SOURCE_022,NZO/HlLtJ,2/5/2024,HET,fasted,10
E2E_SAMPLE_023,19,YES,metformin,3/22/2024,15.64,25.93,E2E_SOURCE_023,A/J,2/5/2024,HET,fasted,30
E2E_SAMPLE_024,10,NO,metformin,2/15/2024,18.16,27.6,E2E_SOURCE_024,NZO/HlLtJ,2/5/2024,HET,fasted,10
E2E_SAMPLE_025,11,YES,metformin,7/24/2024,27.69,21.34,E2E_SOURCE_025,NZO/HlLtJ,2/5/2024,HOME,not fasted,28
E2E_SAMPLE_026,11,YES,none,7/14/2024,23.71,18.56,E2E_SOURCE_026,CAST/EiJ,2/5/2024,HET,not fasted,30
E2E_SAMPLE_027,17,NO,metformin,8/24/2024,20.92,26.31,E2E_SOURCE_027,NZO/HlLtJ,2/5/2024,HOME,not fasted,22
E2E_SAMPLE_028,11,YES,none,9/20/2024,26.35,21.85,E2E_SOURCE_028,A/J,2/5/2024,HOME,fasted,28
E2E_SAMPLE_029,15,NO,metformin,12/4/2024,29.29,25.76,E2E_SOURCE_029,CAST/EiJ,2/5/2024,HET,fasted,30
E2E_SAMPLE_030,14,NO,metformin,4/9/2024,28.02,20.61,E2E_SOURCE_030,NZO/HlLtJ,2/5/2024,HOME,not fasted,10
E2E_SAMPLE_031,11,YES,metformin,12/30/2024,15.46,23.15,E2E_SOURCE_031,NZO/HlLtJ,2/5/2024,HET,not fasted,22
E2E_SAMPLE_032,16,NO,metformin,2/18/2024,22.32,27.01,E2E_SOURCE_032,NZO/HlLtJ,2/5/2024,HOME,fasted,28
E2E_SAMPLE_033,17,YES,metformin,5/4/2024,25.61,20.68,E2E_SOURCE_033,A/J,2/5/2024,HOME,not fasted,30
E2E_SAMPLE_034,15,YES,none,10/18/2024,27.89,20.44,E2E_SOURCE_034,CAST/EiJ,2/5/2024,HOME,not fasted,22
E2E_SAMPLE_035,17,YES,none,10/7/2024,21.63,20.44,E2E_SOURCE_035,NZO/HlLtJ,2/5/2024,HET,fasted,22
E2E_SAMPLE_036,10,NO,none,3/13/2024,28.52,17.82,E2E_SOURCE_036,NZO/HlLtJ,6/8/2024,HOME,fasted,22
E2E_SAMPLE_037,14,NO,metformin,5/26/2024,24.66,23.97,E2E_SOURCE_037,NZO/HlLtJ,6/8/2024,HOME,fasted,22
E2E_SAMPLE_038,17,NO,none,2/27/2024,16.99,16.31,E2E_SOURCE_038,NZO/HlLtJ,6/8/2024,HOME,fasted,22
E2E_SAMPLE_039,11,YES,metformin,3/7/2024,16.53,27.67,E2E_SOURCE_039,CAST/EiJ,6/8/2024,HOME,not fasted,10
E2E_SAMPLE_040,10,NO,none,12/21/2024,23.72,15.79,E2E_SOURCE_040,NZO/HlLtJ,6/8/2024,HET,not fasted,10
E2E_SAMPLE_041,17,YES,none,1/4/2024,27.07,19.37,E2E_SOURCE_041,NZO/HlLtJ,6/8/2024,HOME,not fasted,30
E2E_SAMPLE_042,12,NO,none,2/28/2024,16.23,22.76,E2E_SOURCE_042,NZO/HlLtJ,6/8/2024,HET,not fasted,28
E2E_SAMPLE_043,13,NO,metformin,11/7/2024,17.91,20.64,E2E_SOURCE_043,NZO/HlLtJ,6/8/2024,HOME,not fasted,28
E2E_SAMPLE_044,15,NO,metformin,7/7/2024,19.64,27.39,E2E_SOURCE_044,CAST/EiJ,6/8/2024,HOME,not fasted,28
E2E_SAMPLE_045,20,YES,none,10/24/2024,22.66,19.21,E2E_SOURCE_045,CAST/EiJ,6/8/2024,HET,fasted,30
E2E_SAMPLE_046,11,YES,metformin,11/27/2024,23.46,26.64,E2E_SOURCE_046,NZO/HlLtJ,6/8/2024,HET,not fasted,22
E2E_SAMPLE_047,12,YES,none,9/8/2024,24.04,19.47,E2E_SOURCE_047,CAST/EiJ,6/8/2024,HOME,fasted,22
E2E_SAMPLE_048,17,NO,none,7/16/2024,22.13,15.84,E2E_SOURCE_048,A/J,6/8/2024,HET,not fasted,30
E2E_SAMPLE_049,19,NO,none,7/23/2024,19.18,21.93,E2E_SOURCE_049,NZO/HlLtJ,6/8/2024,HET,fasted,10
E2E_SAMPLE_050,20,NO,metformin,1/12/2024,26.07,18.62,E2E_SOURCE_050,NZO/HlLtJ,6/8/2024,HOME,not fasted,30
